"INSTNM","MN_EARN_WNE_P7","MN_EARN_WNE_P6","MN_EARN_WNE_P8","MN_EARN_WNE_P9","MN_EARN_WNE_P10","CITY","STABBR","INSTURL","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","LOAN_EVER","CONTROL"
"4380","Pike-Lincoln Technical Center","30700","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","29200","Eolia","MO","pltc.k12.mo.us","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4381","Pennsylvania Institute of Health and Technology","19900","18000","21500","23700","22800","Mount Braddock","PA","www.piht.edu","8980","11033.5","13151","0.947441217","Private"
"4382","Skyline College-Roanoke","26600","29100","24800","34200","30900","Roanoke","VA","www.skyline.edu","13781","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4383","Bethel Seminary-San Diego","44600","41700","46000","47100","50500","San Diego","CA","https://www.bethel.edu","18867","20500","19199","0.952627683","Private"
"4384","St Charles Community College","30000","28500","30900","32300","35100","Cottleville","MO","www.stchas.edu","5250","4700","3750","0.283351313","Public"
"4385","Brandman University","48000","NULL","NULL","51800","NULL","Irvine","CA","www.brandman.edu/","13390","15327.5","14000","0.813179572","Private"
"4386","New College of Florida","PrivacySuppressed","26500","PrivacySuppressed","NULL","PrivacySuppressed","Sarasota","FL","www.ncf.edu","11250","12354","10001","0.703971119","Public"
"4387","Arizona Academy of Beauty-North","17300","PrivacySuppressed","17800","22100","19900","Tucson","AZ","www.arizonaacademy.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4388","Empire Beauty School-Prescott","20500","19500","21200","20700","24300","Prescott","AZ","www.empire.edu","7350","8028","8080","0.835875534","Private"
"4389","Le Cordon Bleu College of Culinary Arts-Scottsdale","31500","27700","32100","36000","36600","Scottsdale","AZ","www.chefs.edu/scottsdale","9500","12327.5","9500","0.873480526","Private"
"4390","Conservatory of Recording Arts and Sciences","33900","29100","35100","36300","40200","Tempe","AZ","www.audiorecordingschool.com","11688","9500","8208","0.911764706","Private"
"4391","Adrian's College of Beauty Turlock","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","12900","Turlock","CA","www.adrians.edu","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4392","California Career School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Anaheim","CA","www.californiacareerschool.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4393","Rolf Institute of Structural Integration","NULL","NULL","NULL","NULL","NULL","Boulder","CO","www.rolf.org","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4394","Heritage College-Denver","23500","23900","23600","25100","25500","Denver","CO","www.heritage-education.com","9500","9500","9111","0.842637823","Private"
"4395","Empire Beauty School-Highland","21500","18500","24500","21000","22200","Louisville","KY","www.empire.edu","7917","9164","8907","0.803159174","Private"
"4396","Sunstate Academy","17800","18300","18400","22300","23100","Fort Myers","FL","www.sunstate.edu","7460","9450","9942","0.8891258","Private"
"4397","Elizabeth Grady School of Esthetics and Massage Therapy","30200","31800","32700","31300","32700","Medford","MA","elizabethgrady.edu","6333","6333","5500","0.885321101","Private"
"4398","Ross Medical Education Center-Port Huron","19800","19400","19600","20000","21100","Port Huron","MI","www.rosseducation.edu","9500","9500","5500","0.901565996","Private"
"4399","Capri Institute of Hair Design-Clifton","24900","20500","23900","25900","28000","Clifton","NJ","www.capriinstitute.com","8997","PrivacySuppressed","PrivacySuppressed","0.867424242","Private"
"4400","Raphael's School of Beauty Culture Inc-Alliance","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Alliance","OH","raphaelsbeautyschool.edu","5500","PrivacySuppressed","PrivacySuppressed","0.835294118","Private"
"4401","Metro Technology Centers","39000","37300","35300","32000","35000","Oklahoma City","OK","www.metrotech.edu","6998","7500","7500","0.605084746","Public"
"4402","Heald College-Roseville","30800","27500","31600","37700","35800","Roseville","CA","www.heald.edu","9500","9500","9500","0.848545112","Private"
"4403","Daymar College-Bowling Green","21500","20600","22900","24400","24500","Bowling Green","KY","www.daymarcollege.edu","14098","16500","14333.5","0.784188034","Private"
"4404","Everest College-Everett","27500","21500","26800","28800","28800","Everett","WA","www.everest.edu/campus/everett","9500","9500","6655","0.786092215","Private"
"4405","Luna Community College","25800","24400","29000","27000","28200","Las Vegas","NM","www.luna.edu","4439.5","PrivacySuppressed","PrivacySuppressed","0.153256705","Public"
"4406","Grabber School of Hair Design","21900","18100","23800","PrivacySuppressed","26400","St. Louis","MO","grabberschool.edu","12969","13775","9725","0.932773109","Private"
"4407","Yeshivah Gedolah Rabbinical College","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Miami Beach","FL","www.lecfl.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4408","University of the District of Columbia-David A Clarke School of Law","34700","28600","34200","38500","38400","Washington","DC","www.law.udc.edu","9500","9500","10375","0.586236934","Public"
"4409","Raphael's School of Beauty Culture Inc-Brunswick","NULL","17500","17200","NULL","14800","Brunswick","OH","www.raphaelsbeautyschool.edu","5500","PrivacySuppressed","PrivacySuppressed","0.858921162","Private"
"4410","Caribbean University-Ponce","19200","17900","19800","20500","20500","Ponce","PR","www.caribbean.edu","7250","PrivacySuppressed","PrivacySuppressed","0.070030121","Private"
"4411","Caribbean University-Vega Baja","19200","17900","19800","20500","20500","Vega Baja","PR","www.caribbean.edu","7250","PrivacySuppressed","PrivacySuppressed","0.070030121","Private"
"4412","University of Advancing Technology","41200","41300","47300","49100","53500","Tempe","AZ","www.uat.edu","15834","14832","14229.5","0.874274662","Private"
"4413","Paradise Valley Community College","33400","31000","35500","35900","38100","Phoenix","AZ","www.pvc.maricopa.edu","3792.5","3500","3910","0.447095761","Public"
"4414","Chandler-Gilbert Community College","37300","34800","40400","43200","45400","Chandler","AZ","www.cgc.maricopa.edu","4500","3500","3500","0.495569189","Public"
"4415","HSHS St. John's Hospital School of Clinical Laboratory Science","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Springfield","IL","https://www.st-johns.org/stjohns/School-of-Clinical-Laboratory-Science.aspx","25000","14187.5","15000","PrivacySuppressed","Private"
"4416","Madison Media Institute","26100","24900","29000","30800","29000","Madison","WI","www.mediainstitute.edu/","9500","12000","12000","0.844537815","Private"
"4417","Sanford-Brown Institute-White Plains","27500","26400","27700","28200","30600","White Plains","NY","www.sbwhiteplains.com","8259","PrivacySuppressed","PrivacySuppressed","0.756097561","Private"
"4418","Sanford-Brown Institute-Garden City","31200","28900","33100","35700","34100","Garden City","NY","www.sanfordbrown.edu/Garden-City","7980","9500","7985","0.860956619","Private"
"4419","Great Plains Technology Center","30200","29000","32300","32600","34300","Lawton","OK","www.greatplains.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4420","Roane-Jackson Technical Center","28600","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","26900","Leroy","WV","www.roanejacksontechnicalcenter.com/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4421","Total Cosmetology Training Center","NULL","17900","PrivacySuppressed","NULL","PrivacySuppressed","Spokane","WA","totalcosmetology.com","6861","PrivacySuppressed","PrivacySuppressed","0.879746835","Private"
"4422","Pioneer Technology Center","18200","PrivacySuppressed","24100","22900","23000","Ponca City","OK","pioneertech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4423","Portage Lakes Career Center","31900","28600","32300","31400","28200","Uniontown","OH","www.plcc.edu","6333","PrivacySuppressed","PrivacySuppressed","0.893203884","Public"
"4424","Eastern College of Health Vocations-New Orleans","18500","17700","18900","20300","19500","New Orleans","LA","www.easterncollege.edu.","3412","4252.5","4263","0.763179238","Private"
"4425","Bell Mar Beauty College","19700","18600","20000","17300","19900","Cicero","IL","www.bellmar.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4426","Cannella School of Hair Design-Chicago","17800","14700","16900","19800","19300","Chicago","IL","cannellabeautyschools.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4427","Caddo Kiowa Technology Center","23400","21800","23100","22300","25000","Fort Cobb","OK","www.caddokiowa.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4428","Brightwood College-San Antonio-San Pedro","23400","21000","24500","25300","25400","San Antonio","TX","www.brightwood.edu/north-san-antonio-tx/","8747.5","9075.5","9491","0.918979987","Private"
"4429","Center for Instruction Technology & Innovation (CiTi)","27200","24500","27500","34700","31400","Mexico","NY","www.oswegoboces.org/","7705","PrivacySuppressed","PrivacySuppressed","0.890625","Public"
"4430","Le Cordon Bleu College of Culinary Arts-Austin","31600","28400","32100","32200","35300","Austin","TX","www.chefs.edu/Austin","10773","11250","10346","0.868832732","Private"
"4431","The Art Institute of New York City","29400","26100","29900","32700","33400","New York","NY","www.artinstitutes.edu/new-york/Default.aspx","11108","14483.5","15436","0.926294821","Private"
"4432","Paris II Educational Center","21800","20700","22000","22600","21400","Gladstone","MO","parisii.net","6833.5","PrivacySuppressed","PrivacySuppressed","0.868055556","Private"
"4433","International School of Skin Nailcare & Massage Therapy","26600","24800","25900","26200","27700","Atlanta","GA","issnschoolspa.com/","4910","6943","6215","0.855238095","Private"
"4434","Palomar Institute of Cosmetology","22600","22700","23800","24400","24800","San Marcos","CA","pic.edu/","6333","6334","6916.5","0.941176471","Private"
"4435","Southern Oklahoma Technology Center","24300","25800","26700","26600","27900","Ardmore","OK","www.sotc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4436","Vista College","20400","20800","22900","24200","23900","El Paso","TX","vistacollege.edu","11875","11875","10342","0.857182244","Private"
"4437","Autry Technology Center","26500","30000","32700","28000","31600","Enid","OK","www.autrytech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4438","Greene County Vocational School District","27900","30800","30400","25400","25400","Xenia","OH","www.greeneccc.com","6333","PrivacySuppressed","PrivacySuppressed","0.803921569","Public"
"4439","Canadian Valley Technology Center","23100","30400","25000","31200","29200","El Reno","OK","www.cvtech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4440","Wilkes-Barre Area Career and Technical Center Practical Nursing","33200","33000","34100","31800","34300","Wilkes Barre","PA","www.wbpracnsg.com","9500","7677","7677","0.884120172","Public"
"4441","Mayo Graduate School","59900","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","59200","Rochester","MN","www.mayo.edu/mgs/index.html","12500","11750","5500","PrivacySuppressed","Private"
"4442","Meridian Technology Center","25700","26100","26600","25000","26100","Stillwater","OK","https://www.meridiantech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4443","Waynesville Career Center","34600","PrivacySuppressed","32900","PrivacySuppressed","PrivacySuppressed","Waynesville","MO","www.waynesville.k12.mo.us/Domain/9","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.78313253","Public"
"4444","Connecticut Institute of Hair Design","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Wolcott","CT","www.cthairandbarberschool.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4445","Capitol School of Hairstyling and Esthetics","25700","20000","23700","27100","25300","Omaha","NE","www.capitollook.com","6500","10400","11350","0.895424837","Private"
"4446","Morris County Vocational School District","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Denville","NJ","www.mcvts.org/","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.675324675","Public"
"4447","Ross Medical Education Center-Roosevelt Park","19800","19400","19600","20000","21100","Roosevelt Park","MI","www.rosseducation.edu","9500","9500","5500","0.901565996","Private"
"4448","Ross Medical Education Center-Kentwood","22600","20500","21300","23100","23100","Kentwood","MI","www.rosseducation.edu","9500","9500","5500","0.887015177","Private"
"4449","South Florida Bible College and Theological Seminary","NULL","NULL","NULL","NULL","NULL","Deerfield Beach","FL","www.sfbc.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.670731707","Private"
"4450","Cloyd's Barber School 2 Inc","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Monroe","LA","cloydsbarberschool.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4451","Universal Technical Institute of Illinois Inc","39200","35500","41000","43800","45700","Lisle","IL","www.uti.edu/","14750","14243","12000","0.864444861","Private"
"4452","Pennsylvania College of Technology","37700","37500","40200","40900","43200","Williamsport","PA","www.pct.edu","14250","14250","12000","0.90363901","Public"
"4453","Commonwealth Institute of Funeral Service","33300","31200","31900","35000","38500","Houston","TX","www.commonwealth.edu","8375","9500","9500","0.881422925","Private"
"4454","Delta College of Arts & Technology","27000","24200","26900","26900","28200","Baton Rouge","LA","www.deltacollege.com","4000","5500","9500","0.819555556","Private"
"4455","InterCoast Colleges-Orange","23500","19400","23100","27000","26100","Orange","CA","www.intercoast.edu","9500","9500","11702","0.878509197","Private"
"4456","Stone Child College","22400","17500","21800","25400","23400","Box Elder","MT","www.stonechild.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4457","New York Academy of Art","PrivacySuppressed","NULL","NULL","NULL","NULL","New York","NY","www.nyaa.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"4458","Suffolk County Community College","34900","30700","36400","39700","40700","Selden","NY","www3.sunysuffolk.edu","3910","3866.5","4800","0.36330735","Public"
"4459","Las Positas College","34000","31700","39200","36200","37400","Livermore","CA","www.laspositascollege.edu","8443","6000","4625","0.02560241","Public"
"4460","Blades School of Hair Design","PrivacySuppressed","20100","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","California","MD","BladesSchoolOfHairDesign.com","9455.5","PrivacySuppressed","PrivacySuppressed","0.859649123","Private"
"4461","Ogeechee Technical College","22200","23100","24000","23700","23700","Statesboro","GA","www.ogeecheetech.edu","7332","6332","5500","0.627247956","Public"
"4462","Remington College-Mobile Campus","22200","18200","21200","28900","26700","Mobile","AL","www.remingtoncollege.edu/mobile-alabama-colleges-campus","9500","9500","9500","0.830550312","Private"
"4463","Everest College-Aurora","26500","22300","26400","28000","27900","Aurora","CO","www.everest.edu/campus/aurora","9500","9500","9500","0.82371134","Private"
"4464","Southern Technical College","24200","23500","25400","30600","27100","Fort Myers","FL","www.southerntech.edu","11434.5","15584","15382","0.867952522","Private"
"4465","Mercy-St Luke's School of Radiologic Technology","NULL","NULL","NULL","PrivacySuppressed","NULL","Cedar Rapids","IA","www.isrt.org/ResourceCenter/mstl.aspx","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4466","ITT Technical Institute-Norwood","36700","33100","38300","40000","42800","Norwood","MA","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4467","Southwest Acupuncture College-Santa Fe","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Santa Fe","NM","www.acupuncturecollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4468","Northwest Technology Center-Alva","19000","PrivacySuppressed","26800","20700","21000","Alva","OK","www.nwtech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4469","Mercer County Career Center","29400","29700","31300","34400","31500","Mercer","PA","www.mercerccc.org","16500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4470","ITT Technical Institute-Knoxville","36700","33100","38300","40000","42800","Knoxville","TN","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4471","ITT Technical Institute-Austin","36700","33100","38300","40000","42800","Austin","TX","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4472","ITT Technical Institute-Houston North","36700","33100","38300","40000","42800","Houston","TX","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4473","California State University-San Marcos","41200","36900","42300","47300","49300","San Marcos","CA","www.csusm.edu","12500","12500","13950","0.621491412","Public"
"4474","Argosy University-Hawaii","39800","35400","41500","41000","41300","Honolulu","HI","www.argosy.edu/hawaii/","9500","12667","12500","0.81049936","Private"
"4475","Baptist Theological Seminary at Richmond","NULL","NULL","NULL","NULL","NULL","Henrico","VA","www.btsr.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"4476","Brightwood College-Modesto","21500","22700","23900","21900","22000","Salida","CA","www.brightwood.edu/modesto-ca/","8766.5","8850.5","9500","0.902417189","Private"
"4477","Kaplan University-Des Moines Campus","36600","31000","36200","39500","39400","Urbandale","IA","www.kaplanuniversity.edu/des-moines-iowa.aspx","9500","16890","19378","0.84301745","Private"
"4478","Hairmasters Institute of Cosmetology","19200","18200","19600","23100","21200","Bloomington","IL","www.hair-masters.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.77","Private"
"4479","Tricoci University of Beauty Cuture LLC-Bloomington","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Bloomington","IN","www.tricociuniversity.com","7322","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4480","Pinnacle Career Institute-Lawrence","22100","18700","22100","23800","21900","Lawrence","KS","www.pcitraining.edu","8841.5","9053","9392","0.849420849","Private"
"4481","Interactive College of Technology-Newport","24300","22000","24600","26200","25800","Newport","KY","www.ict.edu","5418","PrivacySuppressed","PrivacySuppressed","0.158894646","Private"
"4482","Career Technical College-Monroe","21100","21100","22600","21600","22900","Monroe","LA","www.mccann.edu","9500","11841.5","11314","0.941741145","Private"
"4483","Empire Beauty School-Lowell","22500","20600","22400","24100","26100","Lowell","MA","www.empire.edu","8326","8928.5","8100","0.830463963","Private"
"4484","Ross Medical Education Center-Taylor","22400","19300","22100","24600","23700","Taylor","MI","www.rosseducation.edu","9500","9500","5500","0.909411765","Private"
"4485","McNally Smith College of Music","27700","25500","28700","32000","34800","Saint Paul","MN","www.mcnallysmith.edu","12250","16693.5","15250","0.954703833","Private"
"4486","National Tractor Trailer School Inc-Liverpool","32700","34000","32700","34800","36100","Liverpool","NY","www.ntts.edu","6365","6365","3685","0.89159292","Private"
"4487","Interactive College of Technology","25100","25100","25100","26100","27100","Houston","TX","www.ict.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.041442411","Private"
"4488","Star Career Academy–Brick","NULL","23100","PrivacySuppressed","NULL","PrivacySuppressed","Brick","NJ","starcareer.edu/campuses/brick-nj-campus/","8863","9500","8208","0.83809118","Private"
"4489","New Castle Beauty Academy","13500","14000","16800","14900","17800","New Castle","PA","beautyacademies.net","7500","9315","8028","0.923076923","Private"
"4490","NorthWest Arkansas Community College","31300","30200","32900","34000","37000","Bentonville","AR","www.nwacc.edu","8250","7740","5500","0.516291993","Public"
"4491","Madera Beauty College","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Madera","CA","www.maderabeautycollege.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4492","Colorado Heights University","PrivacySuppressed","24300","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Denver","CO","WWW.CHU.EDU","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4493","Brewster Technical College","18300","20300","22200","20100","20300","Tampa","FL","www.brewster.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4494","Hodges University","40500","32000","39100","41900","42400","Naples","FL","www.hodges.edu","9500","14475","16050","0.508116883","Private"
"4495","Everest University-Lakeland","25200","20000","23900","27800","28000","Lakeland","FL","www.everest.edu/campus/lakeland","7808","10857.5","9500","0.771913095","Private"
"4496","Argosy University-Atlanta","39800","35400","41500","41000","41300","Atlanta","GA","argosy.edu/","9500","12667","12500","0.81049936","Private"
"4497","University of St Augustine for Health Sciences","NULL","NULL","NULL","NULL","NULL","San Marcos","CA","www.usa.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"4498","Capital Area School of Practical Nursing","35800","35600","35300","30000","34600","Springfield","IL","www.caspn.edu","9500","9500","5500","0.95","Public"
"4499","Hair Professionals Career College","21300","20800","21700","21100","25000","Palos Hills","IL","hairpros.edu","7917","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4500","Alexandria School of Scientific Therapeutics","22800","22700","22900","PrivacySuppressed","PrivacySuppressed","Alexandria","IN","www.assti.com","7937","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4501","Empire Beauty School-Bloomfield","20400","16500","20500","22000","21400","Bloomfield","NJ","www.empire.edu","6820.5","6968","9500","0.791105543","Private"
"4502","Southwest Technology Center","34400","30000","40300","29800","29200","Altus","OK","www.swtech.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4503","Western Area Career & Technology Center","35100","32200","33100","PrivacySuppressed","34600","Canonsburg","PA","www.wactc.net","13040","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4504","Daymar Institute-Clarksville","21500","20600","22900","24400","24500","Clarksville","TN","www.daymarinstitute.edu","14098","16500","14333.5","0.784188034","Private"
"4505","Nossi College of Art","22200","22900","23900","26200","24900","Madison","TN","www.nossi.edu","22991.5","19250","18250","0.948186529","Private"
"4506","Seguin Beauty School-New Braunfels","19300","18800","19100","18700","19800","New Braunfels","TX","www.seguinbeautyschool.net","7000","PrivacySuppressed","PrivacySuppressed","0.870967742","Private"
"4507","ITT Technical Institute-Norfolk","36700","33100","38300","40000","42800","Norfolk","VA","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4508","Pima Medical Institute-Seattle","27500","27000","27200","29000","29800","Seattle","WA","pmi.edu","8445","8708","9298","0.890413897","Private"
"4509","Mineral County Vocational Technical Center","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Keyser","WV","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4510","Hypnosis Motivation Institute","35200","31600","32600","36200","31000","Tarzana","CA","www.hypnosis.edu","9500","9500","9500","PrivacySuppressed","Private"
"4511","Los Angeles ORT College-Los Angeles Campus","24100","22200","24600","28700","27200","Los Angeles","CA","www.laort.edu","6761","PrivacySuppressed","PrivacySuppressed","0.197007481","Private"
"4512","Everest College-West Los Angeles","25800","26300","28300","29500","27900","Los Angeles","CA","www.everest.edu/campus/west_los_angeles","9425","9195","7331.5","0.79630829","Private"
"4513","Thanh Le College School of Cosmetology","16200","12900","14400","22800","20100","Garden Grove","CA","WWW.thanhlecollege.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4514","Southeastern Technical College","22500","21400","21800","24300","24200","Vidalia","GA","www.southeasterntech.edu","5081","4942.5","5500","PrivacySuppressed","Public"
"4515","Massachusetts School of Law","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Andover","MA","www.mslaw.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"4516","ITT Technical Institute-Albuquerque","36700","33100","38300","40000","42800","Albuquerque","NM","www.itt-tech.edu","12667","17014","17000","0.800189188","Private"
"4517","Community Services Division-Alliance City","19500","24300","27200","19200","21700","Alliance","OH","www.accrtw.org","6840","PrivacySuppressed","PrivacySuppressed","0.834782609","Public"
"4518","Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando","33100","32300","35400","34100","37000","Orlando","FL","www.uti.edu/","16063","15188","12000","0.867413993","Private"
"4519","Erwin Technical College","28800","27200","29500","29500","30200","Tampa","FL","www.erwin.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
"4520","Rosel School of Cosmetology","18200","16500","17000","22300","21700","Chicago","IL","www.roselschool.org","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4521","Worsham College of Mortuary Science","43000","34200","44800","47500","45300","Wheeling","IL","WWW.WORSHAMCOLLEGE.COM","15333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4522","Bryan University","24500","19000","24200","25300","27900","Springfield","MO","www.bryanu.edu","16468","PrivacySuppressed","PrivacySuppressed","0.785714286","Private"
"4523","Oregon College of Oriental Medicine","NULL","NULL","NULL","NULL","NULL","Portland","OR","ocom.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","Private"
"4524","Central Pennsylvania Institute of Science and Technology","PrivacySuppressed","31500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Pleasant Gap","PA","www.cpi.edu","6439","8859.5","5500","0.800569801","Public"
"4525","Northwest Educational Center","21500","19500","21000","23500","23800","Houston","TX","northwestedcenter.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4526","Sebring Career Schools-Houston","18900","17900","21300","18000","19300","Houston","TX","sebringcareerschools.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.267857143","Private"
"4527","PCI Health Training Center","25000","21400","24300","24300","25400","Dallas","TX","www.pcihealth.com","5500","6333","6034.5","0.859704641","Private"
"4528","Windham Memorial Hospital-Radiologic Technology Program","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Willimantic","CT","www.windhamhospital.org/education-research/radiologic-technology","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4529","Miami-Jacobs Career College-Columbus","24600","21900","24000","25500","28700","Columbus","OH","www.miamijacobs.edu","12661","16334","14828","0.884740848","Private"
"4530","Bryant & Stratton College-Eastlake","22200","23000","23600","23700","24300","Eastlake","OH","www.bryantstratton.edu","9500","13385.5","12950","0.876810697","Private"
"4531","Hamrick School","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","PrivacySuppressed","Medina","OH","www.hamrickschool.edu","5481","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4532","Alabama State College of Barber Styling","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Gardendale","AL","www.ascbs.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Private"
"4533","Fortis College-Mobile","19800","17200","20200","21800","21900","Mobile","AL","fortis.edu","9500","9875","10613","0.876789588","Private"
"4534","Arkansas Beauty School","13100","PrivacySuppressed","15700","PrivacySuppressed","PrivacySuppressed","Conway","AR","arkansasbeautyschoolconway.com","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","0.723404255","Private"
"4535","Everest College-Ontario","23700","20800","23200","26000","25800","Ontario","CA","www.everest.edu/campus/ontario","9500","9500","5933","0.787878788","Private"
"4536","Downey Adult School","NULL","NULL","NULL","NULL","NULL","Downey","CA","www.das.edu","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","Public"
